Angle,RT60,Mu_Inv,Zeta,SI_SDR_Imp
20,0.4,1.2,0.0001,-14.666
20,0.4,1.2,0.001,-14.639
20,0.4,1.2,0.01,-14.504
20,0.6,0.0,1e-06,0.609
20,0.6,0.0,1e-05,0.61
20,0.6,0.0,0.0001,0.628
20,0.6,0.0,0.001,0.786
20,0.6,0.0,0.01,1.642
20,0.6,0.2,1e-06,-9.836
20,0.6,0.2,1e-05,-9.835
20,0.6,0.2,0.0001,-9.829
20,0.6,0.2,0.001,-9.776
20,0.6,0.2,0.01,-9.528
20,0.6,0.5,1e-06,-11.912
20,0.6,0.5,1e-05,-11.912
20,0.6,0.5,0.0001,-11.907
20,0.6,0.5,0.001,-11.86
20,0.6,0.5,0.01,-11.66
20,0.6,0.8,1e-06,-13.074
20,0.6,0.8,1e-05,-13.074
20,0.6,0.8,0.0001,-13.069
20,0.6,0.8,0.001,-13.027
20,0.6,0.8,0.01,-12.853
20,0.6,1.0,1e-06,-13.653
20,0.6,1.0,1e-05,-13.652
20,0.6,1.0,0.0001,-13.647
20,0.6,1.0,0.001,-13.607
20,0.6,1.0,0.01,-13.445
20,0.6,1.2,1e-06,-14.138
20,0.6,1.2,1e-05,-14.138
20,0.6,1.2,0.0001,-14.133
20,0.6,1.2,0.001,-14.095
20,0.6,1.2,0.01,-13.943
30,0.0,0.0,1e-06,7.193
30,0.0,0.0,1e-05,7.197
30,0.0,0.0,0.0001,7.235
30,0.0,0.0,0.001,7.559
30,0.0,0.0,0.01,9.019
30,0.0,0.2,1e-06,-5.095
30,0.0,0.2,1e-05,-5.094
30,0.0,0.2,0.0001,-5.084
30,0.0,0.2,0.001,-5.011
30,0.0,0.2,0.01,-4.858
30,0.0,0.5,1e-06,-7.374
30,0.0,0.5,1e-05,-7.373
30,0.0,0.5,0.0001,-7.364
30,0.0,0.5,0.001,-7.297
30,0.0,0.5,0.01,-7.163
30,0.0,0.8,1e-06,-8.569
30,0.0,0.8,1e-05,-8.568
30,0.0,0.8,0.0001,-8.559
30,0.0,0.8,0.001,-8.494
30,0.0,0.8,0.01,-8.365
30,0.0,1.0,1e-06,-9.144
30,0.0,1.0,1e-05,-9.143
30,0.0,1.0,0.0001,-9.134
30,0.0,1.0,0.001,-9.071
30,0.0,1.0,0.01,-8.943
30,0.0,1.2,1e-06,-9.62
30,0.0,1.2,1e-05,-9.619
30,0.0,1.2,0.0001,-9.61
30,0.0,1.2,0.001,-9.547
30,0.0,1.2,0.01,-9.421
30,0.2,0.0,1e-06,6.321
30,0.2,0.0,1e-05,6.329
30,0.2,0.0,0.0001,6.413
30,0.2,0.0,0.001,7.041
30,0.2,0.0,0.01,9.014
30,0.2,0.2,1e-06,-8.071
30,0.2,0.2,1e-05,-8.069
30,0.2,0.2,0.0001,-8.052
30,0.2,0.2,0.001,-7.947
30,0.2,0.2,0.01,-7.77
30,0.2,0.5,1e-06,-10.384
30,0.2,0.5,1e-05,-10.382
30,0.2,0.5,0.0001,-10.365
30,0.2,0.5,0.001,-10.263
30,0.2,0.5,0.01,-10.096
30,0.2,0.8,1e-06,-11.587
30,0.2,0.8,1e-05,-11.585
30,0.2,0.8,0.0001,-11.568
30,0.2,0.8,0.001,-11.468
30,0.2,0.8,0.01,-11.307
30,0.2,1.0,1e-06,-12.169
30,0.2,1.0,1e-05,-12.167
30,0.2,1.0,0.0001,-12.15
30,0.2,1.0,0.001,-12.051
30,0.2,1.0,0.01,-11.894
30,0.2,1.2,1e-06,-12.651
30,0.2,1.2,1e-05,-12.649
30,0.2,1.2,0.0001,-12.632
30,0.2,1.2,0.001,-12.534
30,0.2,1.2,0.01,-12.382
30,0.4,0.0,1e-06,1.826
30,0.4,0.0,1e-05,1.827
30,0.4,0.0,0.0001,1.838
30,0.4,0.0,0.001,1.934
30,0.4,0.0,0.01,2.531
30,0.4,0.2,1e-06,-9.452
30,0.4,0.2,1e-05,-9.452
30,0.4,0.2,0.0001,-9.448
30,0.4,0.2,0.001,-9.409
30,0.4,0.2,0.01,-9.197
30,0.4,0.5,1e-06,-11.698
30,0.4,0.5,1e-05,-11.697
30,0.4,0.5,0.0001,-11.694
30,0.4,0.5,0.001,-11.659
30,0.4,0.5,0.01,-11.478
30,0.4,0.8,1e-06,-12.925
30,0.4,0.8,1e-05,-12.925
30,0.4,0.8,0.0001,-12.922
30,0.4,0.8,0.001,-12.89
30,0.4,0.8,0.01,-12.726
30,0.4,1.0,1e-06,-13.525
30,0.4,1.0,1e-05,-13.525
30,0.4,1.0,0.0001,-13.521
30,0.4,1.0,0.001,-13.491
30,0.4,1.0,0.01,-13.335
30,0.4,1.2,1e-06,-14.022
30,0.4,1.2,1e-05,-14.022
30,0.4,1.2,0.0001,-14.019
30,0.4,1.2,0.001,-13.989
30,0.4,1.2,0.01,-13.839
30,0.6,0.0,1e-06,1.389
30,0.6,0.0,1e-05,1.39
30,0.6,0.0,0.0001,1.404
30,0.6,0.0,0.001,1.528
30,0.6,0.0,0.01,2.195
30,0.6,0.2,1e-06,-8.082
30,0.6,0.2,1e-05,-8.082
30,0.6,0.2,0.0001,-8.076
30,0.6,0.2,0.001,-8.022
30,0.6,0.2,0.01,-7.788
30,0.6,0.5,1e-06,-10.278
30,0.6,0.5,1e-05,-10.277
30,0.6,0.5,0.0001,-10.272
30,0.6,0.5,0.001,-10.223
30,0.6,0.5,0.01,-10.02
30,0.6,0.8,1e-06,-11.465
30,0.6,0.8,1e-05,-11.464
30,0.6,0.8,0.0001,-11.459
30,0.6,0.8,0.001,-11.413
30,0.6,0.8,0.01,-11.226
30,0.6,1.0,1e-06,-12.042
30,0.6,1.0,1e-05,-12.042
30,0.6,1.0,0.0001,-12.037
30,0.6,1.0,0.001,-11.993
30,0.6,1.0,0.01,-11.813
30,0.6,1.2,1e-06,-12.521
30,0.6,1.2,1e-05,-12.521
30,0.6,1.2,0.0001,-12.516
30,0.6,1.2,0.001,-12.473
30,0.6,1.2,0.01,-12.3
40,0.0,0.0,1e-06,7.472
40,0.0,0.0,1e-05,7.475
40,0.0,0.0,0.0001,7.506
40,0.0,0.0,0.001,7.789
40,0.0,0.0,0.01,9.394
40,0.0,0.2,1e-06,-7.771
40,0.0,0.2,1e-05,-7.771
40,0.0,0.2,0.0001,-7.765
40,0.0,0.2,0.001,-7.72
40,0.0,0.2,0.01,-7.576
40,0.0,0.5,1e-06,-9.951
40,0.0,0.5,1e-05,-9.951
40,0.0,0.5,0.0001,-9.944
40,0.0,0.5,0.001,-9.894
40,0.0,0.5,0.01,-9.728
40,0.0,0.8,1e-06,-11.1
40,0.0,0.8,1e-05,-11.1
40,0.0,0.8,0.0001,-11.093
40,0.0,0.8,0.001,-11.04
40,0.0,0.8,0.01,-10.867
40,0.0,1.0,1e-06,-11.666
40,0.0,1.0,1e-05,-11.666
40,0.0,1.0,0.0001,-11.659
40,0.0,1.0,0.001,-11.605
